"learning_rate","max_bin","num_leaves","nrounds","boosting","max_depth","bagging_fraction","feature_fraction","accuracy"
0.1,2048,50,100,"gbdt",20,1,1,0
0.05,2048,50,100,"gbdt",20,1,1,0.593380539548774
0.01,2048,50,100,"gbdt",20,1,1,0
0.1,256,60,100,"gbdt",20,1,1,0
0.05,256,60,100,"gbdt",20,1,1,0
0.01,256,60,100,"gbdt",20,1,1,0
0.1,512,60,100,"gbdt",20,1,1,0
0.05,512,60,100,"gbdt",20,1,1,0.664766702541272
0.01,512,60,100,"gbdt",20,1,1,0
0.1,1024,60,100,"gbdt",20,1,1,0
0.05,1024,60,100,"gbdt",20,1,1,0.687142329519505
0.01,1024,60,100,"gbdt",20,1,1,0
0.1,2048,60,100,"gbdt",20,1,1,-1
0.05,2048,60,100,"gbdt",20,1,1,0
0.01,2048,60,100,"gbdt",20,1,1,0
0.1,256,70,100,"gbdt",20,1,1,-1
0.05,256,70,100,"gbdt",20,1,1,0
0.01,256,70,100,"gbdt",20,1,1,0.634395737937991
0.1,512,70,100,"gbdt",20,1,1,0
0.05,512,70,100,"gbdt",20,1,1,0
0.01,512,70,100,"gbdt",20,1,1,0
0.1,1024,70,100,"gbdt",20,1,1,-1
0.05,1024,70,100,"gbdt",20,1,1,0
0.01,1024,70,100,"gbdt",20,1,1,0
0.1,2048,70,100,"gbdt",20,1,1,0
0.05,2048,70,100,"gbdt",20,1,1,0
0.01,2048,70,100,"gbdt",20,1,1,0
0.1,256,40,150,"gbdt",20,1,1,0
0.05,256,40,150,"gbdt",20,1,1,0
0.01,256,40,150,"gbdt",20,1,1,0.611730201784729
0.1,512,40,150,"gbdt",20,1,1,-1
0.05,512,40,150,"gbdt",20,1,1,0
0.01,512,40,150,"gbdt",20,1,1,0
0.1,1024,40,150,"gbdt",20,1,1,0
0.05,1024,40,150,"gbdt",20,1,1,0
0.01,1024,40,150,"gbdt",20,1,1,0.644229814577269
0.1,2048,40,150,"gbdt",20,1,1,-1
0.05,2048,40,150,"gbdt",20,1,1,0
0.01,2048,40,150,"gbdt",20,1,1,0
0.1,256,50,150,"gbdt",20,1,1,0
0.05,256,50,150,"gbdt",20,1,1,0
0.01,256,50,150,"gbdt",20,1,1,0
0.1,512,50,150,"gbdt",20,1,1,0
0.05,512,50,150,"gbdt",20,1,1,0
0.01,512,50,150,"gbdt",20,1,1,0.645040964563568
0.1,1024,50,150,"gbdt",20,1,1,0
0.05,1024,50,150,"gbdt",20,1,1,0.462858861888063
0.01,1024,50,150,"gbdt",20,1,1,0.663149366766877
0.1,2048,50,150,"gbdt",20,1,1,0
0.05,2048,50,150,"gbdt",20,1,1,0.306328757004484
0.01,2048,50,150,"gbdt",20,1,1,0
0.1,256,60,150,"gbdt",20,1,1,-1
0.05,256,60,150,"gbdt",20,1,1,0
0.01,256,60,150,"gbdt",20,1,1,0
0.1,512,60,150,"gbdt",20,1,1,0
0.05,512,60,150,"gbdt",20,1,1,0
0.01,512,60,150,"gbdt",20,1,1,0.659284242046362
0.1,1024,60,150,"gbdt",20,1,1,0
0.05,1024,60,150,"gbdt",20,1,1,0
0.01,1024,60,150,"gbdt",20,1,1,0.678140252498977
0.1,2048,60,150,"gbdt",20,1,1,0
0.05,2048,60,150,"gbdt",20,1,1,0
0.01,2048,60,150,"gbdt",20,1,1,0
0.1,256,70,150,"gbdt",20,1,1,0
0.05,256,70,150,"gbdt",20,1,1,0.564809593213742
0.01,256,70,150,"gbdt",20,1,1,0
0.1,512,70,150,"gbdt",20,1,1,0
0.05,512,70,150,"gbdt",20,1,1,0
0.01,512,70,150,"gbdt",20,1,1,0.670970957454836
0.1,1024,70,150,"gbdt",20,1,1,0
0.05,1024,70,150,"gbdt",20,1,1,0
0.01,1024,70,150,"gbdt",20,1,1,0
0.1,2048,70,150,"gbdt",20,1,1,0
